latitude,longitude,Home Type,first_name,last_name,company_name,address,city,county,state,zip,phone1,NEM1,NEM2,NEM3,NEM4,NEM5
36.6921,-120.06,Single Family,James,Butt,"Benton, John B Jr",6649 N Blue Gum St,New Orleans,Orleans,LA,70116,504-621-8927,76,70,70,65,23
36.84,-119.32,Single Family,Josephine,Darakjy,"Chanay, Jeffrey A Esq",4 B Blue Ridge Blvd,Brighton,Livingston,MI,48116,810-292-9388,73,60,73,65,24
36.83,-119.31,Single Family,Art,Venere,"Chemel, James L Cpa",8 W Cerritos Ave #54,Bridgeport,Gloucester,NJ,8014,856-636-8749,70,70,56,42,26
36.83,-119.31,Single Family,Lenna,Paprocki,Feltz Printing Service,639 Main St,Anchorage,Anchorage,AK,99501,907-385-4412,82,78,79,49,39
36.83,-119.31,Single Family,Donette,Foller,Printing Dimensions,34 Center St,Hamilton,Butler,OH,45011,513-570-1893,99,72,77,55,27
36.95,-119,Single Family,Simona,Morasca,"Chapman, Ross E Esq",3 Mcauley Dr,Ashland,Ashland,OH,44805,419-503-2484,72,80,56,62,24
36.95,-119,Single Family,Mitsue,Tollner,Morlong Associates,7 Eads St,Chicago,Cook,IL,60632,773-573-6914,88,69,75,47,31
36.92,-119.13,Multi-family,Leota,Dilliard,Commercial Press,7 W Jackson Blvd,San Jose,Santa Clara,CA,95111,408-752-3500,75,72,68,67,23
36.94,-119.01,Multi-family,Sage,Wieser,Truhlar And Truhlar Attys,5 Boston Ave #88,Sioux Falls,Minnehaha,SD,57105,605-414-2147,86,84,52,62,36
36.92,-119.12,Multi-family,Kris,Marrier,"King, Christopher A Esq",228 Runamuck Pl #2808,Baltimore,Baltimore City,MD,21224,410-655-8723,71,71,59,51,37
36.5451,-120.33,Single Family,Minna,Amigon,"Dorl, James J Esq",2371 Jerrold Ave,Kulpsville,Montgomery,PA,19443,215-874-1229,97,89,59,55,38
36.93,-119.12,Single Family,Abel,Maclead,Rangoni Of Florence,37275 St  Rt 17m M,Middle Island,Suffolk,NY,11953,631-335-3414,74,72,75,58,38
36.92,-119.13,Single Family,Kiley,Caldarera,Feiner Bros,25 E 75th St #69,Los Angeles,Los Angeles,CA,90034,310-498-5651,92,74,68,67,40
36.621,-120.18,Single Family,Graciela,Ruta,Buckley Miller & Wright,98 Connecticut Ave Nw,Chagrin Falls,Geauga,OH,44023,440-780-8425,76,76,56,51,45
36.621,-120.18,Multi-family,Cammy,Albares,"Rousseaux, Michael Esq",56 E Morehead St,Laredo,Webb,TX,78045,956-537-6195,83,68,73,59,39
36.5309,-120.1,Single Family,Mattie,Poquette,Century Communications,73 State Road 434 E,Phoenix,Maricopa,AZ,85013,602-277-4385,83,81,77,48,49
36.4463,-119.8,Single Family,Meaghan,Garufi,"Bolton, Wilbur Esq",69734 E Carrillo St,Mc Minnville,Warren,TN,37110,931-313-9635,87,62,51,63,36
36.4463,-119.8,Single Family,Gladys,Rim,T M Byxbee Company Pc,322 New Horizon Blvd,Milwaukee,Milwaukee,WI,53207,414-661-9598,93,62,77,42,24
36.7184,-119.82,Single Family,Yuki,Whobrey,Farmers Insurance Group,1 State Route 27,Taylor,Wayne,MI,48180,313-288-7937,83,64,64,58,30
36.7184,-119.82,Single Family,Fletcher,Flosi,Post Box Services Plus,394 Manchester Blvd,Rockford,Winnebago,IL,61109,815-828-2147,75,78,53,59,22
36.4723,-119.19,Single Family,Bette,Nicka,Sport En Art,6 S 33rd St,Aston,Delaware,PA,19014,610-545-3615,100,90,80,45,20
36.4723,-119.19,Single Family,Veronika,Inouye,C 4 Network Inc,6 Greenleaf Ave,San Jose,Santa Clara,CA,95111,408-540-1785,86,62,62,50,28
36.6114,-119.64,Commercial,Willard,Kolmetz,"Ingalls, Donald R Esq",618 W Yakima Ave,Irving,Dallas,TX,75062,972-303-9197,96,81,53,52,35
36.6114,-119.64,Single Family,Maryann,Royster,"Franklin, Peter L Esq",74 S Westgate St,Albany,Albany,NY,12204,518-966-7987,86,69,64,41,48
36.6114,-119.64,Single Family,Alisha,Slusarski,Wtlz Power 107 Fm,3273 State St,Middlesex,Middlesex,NJ,8846,732-658-3154,100,82,53,46,31
36.645,-119.16,Single Family,Allene,Iturbide,"Ledecky, David Esq",1 Central Ave,Stevens Point,Portage,WI,54481,715-662-6764,85,62,78,68,30
36.52,-119.39,Single Family,Chanel,Caudy,Professional Image Inc,86 Nw 66th St #8673,Shawnee,Johnson,KS,66218,913-388-2079,79,80,69,56,25
36.52,-119.39,Single Family,Ezekiel,Chui,"Sider, Donald C Esq",2 Cedar Ave #84,Easton,Talbot,MD,21601,410-669-1642,70,77,71,40,29
35.992,-119.57,Single Family,Willow,Kusko,U Pull It,90991 Thorburn Ave,New York,New York,NY,10011,212-582-4976,100,88,60,45,27
36.5448,-119.25,Single Family,Bernardo,Figeroa,"Clark, Richard Cpa",386 9th Ave N,Conroe,Montgomery,TX,77301,936-336-3951,73,66,70,57,36
36.5448,-119.25,Single Family,Ammie,Corrio,"Moskowitz, Barry S",74874 Atlantic Ave,Columbus,Franklin,OH,43215,614-801-9788,84,63,62,58,35
36.645,-119.16,Single Family,Francine,Vocelka,Cascade Realty Advisors Inc,366 South Dr,Las Cruces,Dona Ana,NM,88011,505-977-3911,97,86,65,40,28
36.6162,-119.45,Single Family,Ernie,Stenseth,Knwz Newsradio,45 E Liberty St,Ridgefield Park,Bergen,NJ,7660,201-709-6245,80,77,64,62,24
36.6162,-119.45,Single Family,Albina,Glick,"Giampetro, Anthony D",4 Ralph Ct,Dunellen,Middlesex,NJ,8812,732-924-7882,86,68,65,67,48
36.7706,-119.39,Multi-family,Alishia,Sergi,Milford Enterprises Inc,2742 Distribution Way,New York,New York,NY,10025,212-860-1579,80,65,54,45,28
